,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
107,Pasighat,IN,28.0667,95.3333,81.84,86,100,2.35,overcast clouds
108,Manta,EC,-0.95,-80.7333,71.96,80,99,9.08,overcast clouds
109,Betsiamites,CA,48.9413,-68.646,60.64,92,91,7.58,overcast clouds
110,Sydney Mines,CA,46.2367,-60.2177,70.14,84,75,11.5,broken clouds
111,Plouzane,FR,48.3833,-4.6167,91.45,29,0,16.11,clear sky
112,Ambovombe,MG,-25.1667,46.0833,74.3,55,0,13.71,clear sky
113,Poros,GR,37.4994,23.4536,89.85,53,0,12.06,clear sky
114,Katobu,ID,-4.9408,122.5276,74.88,95,97,4.03,overcast clouds
115,Kysyl-Syr,RU,63.8986,122.7617,63.12,82,100,5.37,overcast clouds
116,Tuatapere,NZ,-46.1333,167.6833,33.73,91,10,3.44,clear sky
117,Quatre Cocos,MU,-20.2078,57.7625,68.09,68,88,18.72,overcast clouds
118,Mar Del Plata,AR,-38.0023,-57.5575,53.94,70,0,15.01,clear sky
119,Domoni,KM,-12.2569,44.5319,76.33,69,12,8.16,few clouds
120,Makakilo City,US,21.3469,-158.0858,77.32,74,100,17.27,overcast clouds
121,Hualmay,PE,-11.0964,-77.6139,63.59,77,48,5.06,scattered clouds
122,Ancud,CL,-41.8697,-73.8203,47.98,87,100,13.82,light rain
123,Beloha,MG,-25.1667,45.05,79.61,29,0,11.12,clear sky
124,Zaltan,LY,32.947,11.8665,88.3,49,0,11.86,clear sky
125,Baoro,CF,5.6667,15.9667,76.3,86,100,10.29,moderate rain
126,Kloulklubed,PW,7.0419,134.2556,81.97,73,100,1.92,overcast clouds
127,Tura,IN,25.5198,90.2201,75.65,90,31,3.87,scattered clouds
128,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,78,40,33.38,scattered clouds
129,Alice Springs,AU,-23.7,133.8833,47.21,88,99,5.75,overcast clouds
130,Saint Anthony,US,45.0205,-93.218,71.02,69,0,5.75,clear sky
131,Weiser,US,44.251,-116.9693,69.31,73,9,2.77,clear sky
132,Punta Arenas,CL,-53.15,-70.9167,36.28,76,19,4.21,few clouds
133,Batagay,RU,67.6333,134.6333,58.03,74,89,4.05,overcast clouds
134,Ostrovnoy,RU,68.0531,39.5131,57.33,89,100,13.91,light rain
135,Dunedin,NZ,-45.8742,170.5036,39.79,73,35,1.99,scattered clouds
136,Bethel,US,41.3712,-73.414,77.36,72,20,3.44,few clouds
137,Aripuana,BR,-9.1667,-60.6333,82.62,37,6,4.65,clear sky
138,Bezenchuk,RU,52.982,49.4333,83.8,44,79,10.63,broken clouds
139,Grindavik,IS,63.8424,-22.4338,52.27,76,75,14.97,broken clouds
140,Le Vauclin,MQ,14.5452,-60.8388,86.85,74,75,12.66,broken clouds
141,Pekan,MY,3.4836,103.3996,80.71,86,63,7.56,broken clouds
142,Gizo,SB,-8.103,156.8419,81.12,75,98,3.71,light rain
143,Severo-Kurilsk,RU,50.6789,156.125,57.13,88,100,7.81,overcast clouds
144,Butaritari,KI,3.0707,172.7902,81.1,77,87,12.68,light rain
145,Cidreira,BR,-30.1811,-50.2056,61.83,68,0,1.79,clear sky
146,Nabire,ID,-3.3667,135.4833,76.64,89,82,2.57,broken clouds
147,Tumba,SE,59.1986,17.8332,81.28,35,0,12.66,clear sky
148,Vorobyevka,RU,50.6451,40.9245,80.53,44,60,5.88,broken clouds
149,Price,US,39.5994,-110.8107,72.66,49,0,0.0,clear sky
150,Ribeira Grande,PT,38.5167,-28.7,75.6,73,20,6.91,few clouds
151,Abha,SA,18.2164,42.5053,71.37,64,98,1.43,overcast clouds
152,Padang,ID,-0.9492,100.3543,80.83,82,66,2.66,broken clouds
153,Laguna,US,38.421,-121.4238,68.18,83,0,6.91,clear sky
154,Sangar,RU,63.9242,127.4739,58.93,92,6,1.9,clear sky
155,Saskylakh,RU,71.9167,114.0833,45.48,60,100,10.38,overcast clouds
156,Otuzco,PE,-7.9,-78.5833,57.96,49,39,1.72,scattered clouds
157,Sulangan,PH,11.1373,123.7228,83.59,71,43,4.56,scattered clouds
158,Mongo,TD,12.1844,18.693,84.18,62,82,7.38,broken clouds
159,Tahta,EG,26.7693,31.5021,101.86,15,0,16.46,clear sky
160,Okhotsk,RU,59.3833,143.3,56.28,96,100,6.35,light rain
161,Prince George,CA,53.9166,-122.753,63.63,89,24,1.99,few clouds
162,Marsh Harbour,BS,26.5412,-77.0636,83.08,68,6,9.86,clear sky
163,Lavrentiya,RU,65.5833,-171.0,40.37,97,59,2.55,broken clouds
164,Kahului,US,20.8947,-156.47,78.84,69,100,11.5,overcast clouds
165,Nanortalik,GL,60.1432,-45.2371,46.15,91,100,6.73,overcast clouds
166,Dudinka,RU,69.4058,86.1778,54.99,56,80,4.29,broken clouds
167,Hervey Bay,AU,-25.2986,152.8535,62.13,84,52,8.12,broken clouds
168,Porto Novo,BJ,6.4965,2.6036,81.45,64,100,12.53,overcast clouds
169,Yulara,AU,-25.2406,130.9889,50.85,34,0,11.74,clear sky
170,Port Hardy,CA,50.6996,-127.4199,57.38,100,100,2.3,light rain
171,Te Anau,NZ,-45.4167,167.7167,30.69,90,40,0.58,scattered clouds
172,Smoky Lake,CA,54.1169,-112.4686,64.42,72,9,2.57,clear sky
173,Kununurra,AU,-15.7667,128.7333,66.18,63,5,3.44,clear sky
174,Bredasdorp,ZA,-34.5322,20.0403,64.33,57,100,10.67,overcast clouds
175,Jalor,IN,25.35,72.6167,86.76,70,100,8.99,moderate rain
176,Skjervoy,NO,70.0311,20.9714,57.2,83,100,35.54,light rain
