City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
83,San Policarpo,PH,80.96,scattered clouds,12.1791,125.5072,Agapita M. Nicart
87,Ambilobe,MG,79.86,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
88,Nikolskoye,RU,77.88,overcast clouds,59.7035,30.7861,Tourist House - Sablino
90,Bathsheba,BB,83.55,few clouds,13.2167,-59.5167,Atlantis Hotel
95,Jinchang,CN,85.14,overcast clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
97,Media Luna,CU,83.44,clear sky,20.1419,-77.435,Casa particular Pedro y Tamara
100,Mwinilunga,ZM,84.0,clear sky,-11.7358,24.4293,Kwakuwahi Lodge
101,Monrovia,LR,83.97,light rain,6.3005,-10.7969,Sunset Inn
106,Kieta,PG,78.62,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
107,Pasighat,IN,81.84,overcast clouds,28.0667,95.3333,Siang Guest House
113,Poros,GR,89.85,clear sky,37.4994,23.4536,New Aegli Resort Hotel
119,Domoni,KM,76.33,few clouds,-12.2569,44.5319,Al Djadid
120,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
123,Beloha,MG,79.61,clear sky,-25.1667,45.05,
124,Zaltan,LY,88.3,clear sky,32.947,11.8665,Fars Alfelale
125,Baoro,CF,76.3,moderate rain,5.6667,15.9667,
126,Kloulklubed,PW,81.97,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
127,Tura,IN,75.65,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
136,Bethel,US,77.36,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
137,Aripuana,BR,82.62,clear sky,-9.1667,-60.6333,
138,Bezenchuk,RU,83.8,broken clouds,52.982,49.4333,Gostevoy Dom Na Pushkina
140,Le Vauclin,MQ,86.85,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
141,Pekan,MY,80.71,broken clouds,3.4836,103.3996,Pekan Budget Hotel
142,Gizo,SB,81.12,light rain,-8.103,156.8419,Imagination Island
144,Butaritari,KI,81.1,light rain,3.0707,172.7902,Isles Sunset Lodge
146,Nabire,ID,76.64,broken clouds,-3.3667,135.4833,Hotel Nusantara I
147,Tumba,SE,81.28,clear sky,59.1986,17.8332,Lida friluftsgård
148,Vorobyevka,RU,80.53,broken clouds,50.6451,40.9245,
150,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
152,Padang,ID,80.83,broken clouds,-0.9492,100.3543,Mercure Padang
157,Sulangan,PH,83.59,scattered clouds,11.1373,123.7228,Maia's Beach Resort
158,Mongo,TD,84.18,broken clouds,12.1844,18.693,Résidences du Programme FIDA
162,Marsh Harbour,BS,83.08,clear sky,26.5412,-77.0636,Abaco Beach Resort
164,Kahului,US,78.84,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
168,Porto Novo,BJ,81.45,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
175,Jalor,IN,86.76,moderate rain,25.35,72.6167,Hotel Mansarovar
179,Kota Kinabalu,MY,82.38,light rain,5.9749,116.0724,Gaya Centre Hotel
181,Tukrah,LY,84.67,clear sky,32.5341,20.5791,Lagrota restaurant
183,Livani,LV,77.27,clear sky,56.3543,26.1758,Gamma Hotel
184,Kavieng,PG,80.58,light rain,-2.5744,150.7967,Nusa Island Retreat
192,Petrivka,UA,88.88,overcast clouds,46.9695,30.9591,
196,Kavaratti,IN,81.3,scattered clouds,10.5669,72.642,Green leaf
197,Gondanglegi,ID,75.79,clear sky,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
198,Kohlu,PK,86.27,broken clouds,29.8962,69.252,B &R Rest House
199,Bagula,IN,78.42,overcast clouds,23.3167,88.65,Ripon sarkar
201,Gharghoda,IN,75.27,overcast clouds,22.1667,83.35,Gokul Naik
206,Tamiahua,MX,79.63,broken clouds,21.2667,-97.45,Mission Of The Sun Hotel
212,Vanimo,PG,78.22,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
214,Les Cayes,HT,85.14,clear sky,18.2,-73.75,Villa Orphee
216,Boda,CF,79.88,light rain,4.3189,17.4695,
219,Mtambile,TZ,75.38,light rain,-5.3833,39.7,
220,Feijo,BR,76.33,few clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
221,Shingu,JP,78.66,overcast clouds,33.7333,135.9833,Shingu UI Hotel
223,Dano,BF,86.11,light rain,11.15,-3.0667,Auberge Phenix32-Dano
